# COLMAP images.txt converted from server all_camtoworlds.json
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#
1 0.8544011927600023 -0.01587363431936028 0.5034941080202033 0.12743748558693616 -0.7731628666125312 0.05780837982097702 0.728101522262751 1 frame_00001.jpg

2 0.8564166741162124 -0.01817593630568991 0.5000348738963548 0.12722122669819458 -0.7821842939997028 0.05888058442216364 0.7224953401795275 1 frame_00002.jpg

3 0.8622469478201829 -0.018615881825573576 0.48936767195387715 0.1292398219012919 -0.8029439590454671 0.05126291663551867 0.7000287474360437 1 frame_00003.jpg

4 0.8592375333952876 -0.021679787704164993 0.4947240929074984 0.12840918933914838 -0.7933817895522106 0.05466767572682637 0.7083287382364625 1 frame_00004.jpg

5 0.85285127310227 -0.02914193557528629 0.5058330661535968 0.1262076176164261 -0.7720317329172706 0.06710400354545844 0.7260300243073019 1 frame_00005.jpg

6 0.848240843825207 -0.028939869943515394 0.5126806414067091 0.12964765605732545 -0.7584999112580291 0.05931462951630406 0.7372642809451195 1 frame_00006.jpg

7 0.8438868226433919 -0.030119157585909155 0.5185404556885022 0.1344011262211602 -0.7360342503957714 0.05062349522313616 0.7435280944879745 1 frame_00007.jpg

8 0.8369935599224084 -0.03601573888328662 0.52806221742874 0.13890623357267576 -0.6845056436701005 0.05174259294761217 0.7445099384642196 1 frame_00008.jpg

9 0.8278388813741773 -0.04159660310817466 0.5402665888947433 0.1451362188395796 -0.6074203304037598 0.04723238498789682 0.7391660117712344 1 frame_00009.jpg

10 0.8193708745208661 -0.041997844188340266 0.550409136390151 0.15465229920273135 -0.5371493581967082 0.037223611278436576 0.7284690492489446 1 frame_00010.jpg

11 0.8113924513332244 -0.04519853654351033 0.559127623351814 0.16424275636611232 -0.46987872371145356 0.029253067280038438 0.7056493996966143 1 frame_00011.jpg

12 0.8042049468941269 -0.04634577777314873 0.5663130999225913 0.17434432921572618 -0.3961034342514851 0.021996442693322918 0.673806502076072 1 frame_00012.jpg

13 0.8011254316752848 -0.04951219635165459 0.5686719303306705 0.1798855769357641 -0.3277244357292114 0.02693157749543121 0.6517211933931064 1 frame_00013.jpg

14 0.8188522953594368 -0.055634004438340295 0.543185702732025 0.17701714121025833 -0.3094619987392453 0.038583602521735025 0.6129074984667156 1 frame_00014.jpg

15 0.8290711209381844 -0.057013133778211725 0.5279522475830111 0.1750914140531662 -0.27558486941242133 0.04883452549281245 0.5860661452510365 1 frame_00015.jpg

16 0.8318531509050188 -0.05907796746477309 0.5233574569715881 0.17500600367374733 -0.2152688159084455 0.05625081356480298 0.5543743739688817 1 frame_00016.jpg

17 0.8294257981457431 -0.05831780128759399 0.5257738606478537 0.17948182883715288 -0.1401304552545117 0.0675409139339454 0.5293607442110986 1 frame_00017.jpg

18 0.8271284873520389 -0.05905701165020501 0.527562685546556 0.18452194342294687 -0.06396343828917736 0.06983490317595237 0.5202883730484246 1 frame_00018.jpg

19 0.8268342922245849 -0.051792379735215444 0.5258231360225768 0.19280205451762109 0.0157089068751447 0.06463083559761819 0.5207515043247605 1 frame_00019.jpg

20 0.8243192189513209 -0.050053961622988245 0.528991132806529 0.195347914259134 0.09842482324872215 0.07081319991777207 0.5146293337779628 1 frame_00020.jpg

21 0.8273719478928201 -0.04804864165297692 0.5241080974955196 0.19610632324066338 0.17478021405378874 0.07552364785431315 0.49583307335070503 1 frame_00021.jpg

22 0.8341959170127796 -0.04867195022824693 0.5140963595062437 0.19352815413426033 0.23807817365176653 0.09114471580746267 0.48397892392716074 1 frame_00022.jpg

23 0.8448478725314622 -0.050705671074574896 0.49842205679714724 0.18771377279795046 0.2911503193745859 0.09764760095009752 0.48088473098082607 1 frame_00023.jpg

